Date,Open,High,Low,Close,Volume
2010-08-23,28.04030418395996,28.3269176499111,27.9447643372693,28.032341011538865,2558907
2010-08-24,27.80145263671875,28.024375868771187,27.590474161163666,27.833299246591938,3444808
2010-08-25,27.674076080322266,27.801459514267364,27.351637427505757,27.74572945173267,3495488
2010-08-26,27.64621353149414,27.88903869879673,27.439216571644195,27.8651552518689,2546904
2010-08-27,27.693979263305664,27.84922771891877,27.208329002337308,27.554654115583702,2874088
2010-08-30,27.58650016784668,27.904957207983006,27.483000187198694,27.761650476950525,1824033
2010-08-31,27.431251525878906,27.53474846875144,27.168521508447803,27.236193287339926,3817519
2010-09-01,28.01243782043457,28.028361127457952,27.22026924058768,27.546689441916357,4044855
2010-09-02,28.127880096435547,28.32293529662385,27.713883216502992,27.865150080742442,3119314
2010-09-03,28.410507202148438,28.62944580810147,28.15175881596774,28.30302565482946,4276743
2010-09-06,28.386621475219727,28.56973492826877,28.263219657027086,28.422449670957533,1269624
2010-09-07,28.10399627685547,28.370704866834277,28.06418952324172,28.291091359606778,2472419
2010-09-08,28.223411560058594,28.34681337233657,28.012433092463436,28.1836048177489,3052705
2010-09-09,28.943931579589844,29.051413154156045,28.183612570041234,28.3428395830776,4587586
2010-09-10,28.49410629272461,28.939946738381426,28.48216457179598,28.939946738381426,3892918
2010-09-13,28.736934661865234,28.764799692873467,28.517992963185847,28.661299704674065,2666278
2010-09-14,29.24248504638672,29.405696673226114,28.860334771106217,28.892181386644697,6126897
2010-09-15,29.131027221679688,29.338024164849667,28.943932136992224,29.338024164849667,3048598
2010-09-16,29.135007858276367,29.23850480795659,28.94791277968899,29.051412766429774,2878492
2010-09-17,29.42559814453125,29.879401780296202,29.40967483697068,29.505214682334106,10413334
2010-09-20,29.51715660095215,29.704251669713422,29.26636830152304,29.437540062617355,2964843
2010-09-21,29.529096603393555,29.75997999553293,29.521136468553674,29.608710100033232,2453567
2010-09-22,29.019561767578125,29.549000306390532,28.920043382255198,29.41763530886984,4444553
2010-09-23,29.17083168029785,29.17083168029785,28.64139308594098,29.019564812078922,2974755
2010-09-24,29.290252685546875,29.413654514809693,28.800620880272163,29.138982792065818,2722130
2010-09-27,29.433563232421875,29.54104176912512,29.290256492110498,29.33802338084057,2381397
